rs6426244	247552549	247552549	1
chr1_22629019_I	22629019	22629019	1
rs6426746	22629057	22629057	1
rs4654794	22629387	22629387	1
rs6684438	22632699	22632699	1
rs4589079	22636659	22636659	1
rs6424420	71617388	71617388	1
rs12402969	160020237	160020237	1
rs56282521	160020945	160020945	1
rs71648683	242256882	242256882	1
rs35962113	242258939	242258939	1
rs6690033	242259615	242259615	1
rs7412254	242270758	242270758	1
chr1_242270803_I	242270803	242270803	1
chr1_242270804_I	242270804	242270804	1
rs4658837	242780095	242780095	1
rs1938336	242800617	242800617	1
rs1012507	173219471	173219471	1
rs10912573	173235319	173235319	1
rs7533238	173242465	173242465	1
rs10912577	173244862	173244862	1
rs2242195	154988957	154988957	1
rs6673081	154989595	154989595	1
rs4845701	154992955	154992955	1
rs10157792	155119845	155119845	1
rs6690063	63667986	63667986	1
rs4915886	63677260	63677260	1
